doc_name	id
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/www.atlas.unsj.edu.ar.txt	1
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/www.sociales.unlu.edu.ar.txt	2
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/www.prolab.unlp.edu.ar.txt	3
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/sal02.txt	4
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/www.iua.edu.ar.txt	5
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/www.epctv.edu.ar.txt	6
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/www.siat.unrc.edu.ar.txt	7
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/bib.unne.edu.ar.txt	8
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/facaweb.uncoma.edu.ar.txt	9
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/www.inun.edu.ar.txt	10
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/www.estudiosculturales.unr.edu.ar.txt	11
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/essa.uncoma.edu.ar.txt	12
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/correspondencia.uncoma.edu.ar.txt	13
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/www.ogarcia.unlu.edu.ar.txt	14
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/distancia.fcq.unc.edu.ar.txt	15
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/webmail.unrc.edu.ar.txt	16
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/alumnos.ucu.edu.ar.txt	17
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/jardinmaternal.unsl.edu.ar.txt	18
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/agrobiotecnologia.unsam.edu.ar.txt	19
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/sigeva.unlpam.edu.ar.txt	20
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/www.argenfood.unlu.edu.ar.txt	21
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/www.idn.jursoc.unlp.edu.ar.txt	22
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/fahuweb.uncoma.edu.ar.txt	23
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/congresos.unlp.edu.ar.txt	24
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/www.politicaygobierno.unsam.edu.ar.txt	25
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/www.economicas.unlz.edu.ar.txt	26
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/www.fbqf.unt.edu.ar.txt	27
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/fce.unne.edu.ar.txt	28
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/www.untrefvirtual.edu.ar.txt	29
/home/agustin/Desktop/Recuperacion/colecciones/RI-tknz-data/ufq.unq.edu.ar.txt	30
